zip_code,cases,cases_norm
97002,86,1529.4
97003,396,1529.9
97004,35,797.6
97005,497,1995.5
97006,661,1048.6
97007,633,945.4
97008,336,1159.9
97009,129,1661.9
97013,441,1943.8
97014,13,1009.3
97015,405,2074.7
97016,41,674.0
97017,11,376.5
97018,15,768.4
97019,51,1613.4
97021,1-9,n/a
97022,41,1101.6
97023,104,1057.8
97024,372,3632.1
97026,161,4220.2
97027,103,849.1
97030,928,2529.1
97031,247,1344.2
97032,148,2934.8
97034,158,835.8
97035,191,798.8
97038,188,1244.0
97040,11,884.2
97041,48,1703.9
97042,29,992.1
97045,569,1107.9
97048,70,1046.2
97049,16,842.5
97051,121,758.3
97053,16,492.8
97054,1-9,n/a
97055,209,1204.6
97056,75,652.3
97058,373,1880.2
97060,478,2252.0
97062,466,1698.6
97063,1-9,n/a
97064,17,490.8
97067,18,841.9
97068,217,766.6
97070,281,1340.8
97071,1458,5062.0
97078,450,2099.8
97080,917,2242.7
97086,473,1818.5
97089,174,1451.7
97101,43,1133.4
97103,99,587.2
97106,40,879.1
97107,1-9,n/a
97110,1-9,n/a
97111,38,1204.1
97112,1-9,n/a
97113,490,3461.7
97114,104,2184.0
97115,45,1087.2
97116,528,2190.5
97119,37,837.1
97121,12,867.7
97123,1023,2297.0
97124,637,1317.5
97127,61,1631.0
97128,674,1864.9
97131,1-9,n/a
97132,315,1113.9
97133,36,900.0
97136,1-9,n/a
97137,16,1224.2
97138,65,648.6
97140,182,775.3
97141,58,441.4
97146,100,1693.5
97148,31,910.2
97201,135,871.9
97202,285,735.3
97203,570,1836.2
97204,19,1834.0
97205,46,598.3
97206,602,1264.8
97209,250,1672.2
97210,76,698.1
97211,340,1087.9
97212,158,654.9
97213,260,889.8
97214,218,915.5
97215,163,995.4
97216,323,2071.3
97217,367,1167.4
97218,383,2630.3
97219,332,857.7
97220,582,2042.5
97221,89,765.3
97222,419,1197.9
97223,521,1115.7
97224,346,1111.8
97225,221,914.1
97227,59,1533.7
97229,442,759.2
97230,1013,2548.3
97231,30,700.9
97232,101,880.4
97233,1472,3739.2
97236,1244,3375.7
97239,145,1024.7
97266,726,2180.2
97267,380,1232.2
97301,1337,2498.2
97302,419,1128.4
97303,740,1914.0
97304,463,1627.2
97305,1285,3198.4
97306,412,1505.8
97317,553,2270.6
97321,249,998.9
97322,367,1078.2
97324,1-9,n/a
97325,73,1103.7
97327,13,452.8
97330,297,716.1
97331,32,1328.9
97333,139,650.2
97338,111,553.8
97341,1-9,n/a
97344,1-9,n/a
97347,15,798.7
97348,1-9,n/a
97351,190,1843.4
97352,49,874.4
97355,294,1027.5
97358,10,388.2
97360,1-9,n/a
97361,114,1012.6
97362,95,2189.9
97365,339,3155.2
97366,10,684.9
97367,105,1115.1
97368,1-9,n/a
97370,60,725.4
97374,36,683.6
97375,18,1437.7
97376,1-9,n/a
97378,36,405.3
97380,16,653.3
97381,208,1413.9
97383,112,1168.2
97385,34,1043.9
97386,63,464.4
97389,20,1193.3
97391,28,524.0
97392,69,1329.2
97394,11,236.9
97396,15,475.6
97401,639,1577.0
97402,515,1023.0
97403,184,1583.2
97404,288,892.9
97405,223,499.5
97408,118,1007.6
97411,11,158.2
97415,56,398.5
97417,1-9,n/a
97419,12,1125.7
97420,174,633.3
97423,20,293.7
97424,94,534.3
97426,51,524.9
97431,1-9,n/a
97435,1-9,n/a
97437,10,388.8
97438,10,839.6
97439,38,264.9
97442,1-9,n/a
97443,11,492.8
97444,19,366.7
97446,54,1122.2
97448,95,775.9
97449,1-9,n/a
97452,1-9,n/a
97454,1-9,n/a
97455,20,788.0
97456,19,636.5
97457,67,656.3
97458,1-9,n/a
97459,103,730.7
97462,26,660.2
97463,17,438.5
97465,1-9,n/a
97467,29,543.2
97469,1-9,n/a
97470,136,680.5
97471,162,556.7
97477,315,854.3
97478,322,870.0
97479,96,1010.0
97487,59,698.3
97488,1-9,n/a
97495,1-9,n/a
97496,28,366.8
97497,1-9,n/a
97498,1-9,n/a
97499,1-9,n/a
97501,958,2274.6
97502,371,1339.6
97503,305,2897.0
97504,628,1413.0
97520,160,653.9
97523,18,287.4
97524,160,1106.6
97525,37,804.2
97526,138,403.4
97527,136,403.4
97530,60,867.6
97532,11,462.6
97535,55,1089.8
97537,34,491.5
97538,1-9,n/a
97539,16,480.6
97540,77,971.0
97541,1-9,n/a
97544,1-9,n/a
97601,180,801.5
97603,243,823.0
97623,11,476.2
97624,37,1057.1
97630,43,843.8
97632,11,750.3
97633,18,1322.6
97641,15,1142.4
97701,431,730.6
97702,490,1207.4
97703,263,792.5
97707,25,430.0
97708,1-9,n/a
97720,35,772.6
97734,36,1292.2
97738,26,1339.5
97739,35,317.7
97741,246,2065.1
97753,12,595.2
97754,154,829.1
97756,323,962.6
97759,61,969.2
97760,47,695.6
97761,380,9531.0
97801,913,4242.4
97813,17,1305.7
97814,170,1373.0
97818,402,9665.8
97820,1-9,n/a
97824,15,903.1
97826,31,2857.1
97827,26,989.3
97828,25,800.3
97836,14,706.0
97838,1861,7342.4
97844,163,4282.7
97845,36,1357.5
97846,13,687.5
97850,517,3049.2
97862,268,2297.3
97865,1-9,n/a
97868,39,1958.8
97869,1-9,n/a
97875,151,5785.4
97882,553,7126.3
97883,19,768.3
97885,24,1735.4
97886,15,1315.8
97913,376,6803.0
97914,1564,8143.7
97918,190,4187.8
