zip_code,cases,cases_norm
97002,48,853.6
97003,263,1016.1
97004,24,546.9
97005,319,1280.8
97006,391,620.3
97007,359,536.2
97008,214,738.7
97009,64,824.5
97013,278,1225.3
97014,1-9,n/a
97015,207,1060.4
97016,32,526.1
97017,1-9,n/a
97018,12,614.8
97019,34,1075.6
97021,1-9,n/a
97022,24,644.8
97023,54,549.2
97024,241,2353.1
97026,132,3460.0
97027,56,461.6
97030,541,1474.4
97031,198,1077.6
97032,118,2339.9
97034,84,444.3
97035,99,414.0
97038,112,741.1
97040,10,803.9
97041,36,1278.0
97042,22,752.7
97045,363,706.8
97048,39,582.9
97049,1-9,n/a
97051,69,432.4
97053,1-9,n/a
97054,1-9,n/a
97055,78,449.6
97056,40,347.9
97058,263,1325.7
97060,281,1323.8
97062,281,1024.3
97063,1-9,n/a
97064,12,346.4
97067,13,608.0
97068,103,363.9
97070,174,830.3
97071,1093,3794.7
97078,275,1283.2
97080,572,1398.9
97086,239,918.9
97089,106,884.4
97101,27,711.6
97103,73,433.0
97106,33,725.3
97107,0,n/a
97110,1-9,n/a
97111,16,507.0
97112,0,n/a
97113,302,2133.5
97114,54,1134.0
97115,24,579.9
97116,314,1302.7
97119,19,429.9
97121,12,867.7
97123,641,1439.3
97124,395,817.0
97127,34,909.1
97128,434,1200.9
97131,1-9,n/a
97132,174,615.3
97133,13,325.0
97136,1-9,n/a
97137,1-9,n/a
97138,30,299.4
97140,96,409.0
97141,36,274.0
97146,84,1422.5
97148,19,557.8
97201,74,477.9
97202,179,461.8
97203,341,1098.5
97204,1-9,n/a
97205,25,325.2
97206,309,649.2
97209,141,943.1
97210,47,431.7
97211,196,627.1
97212,100,414.5
97213,147,503.1
97214,155,650.9
97215,114,696.2
97216,172,1103.0
97217,201,639.4
97218,191,1311.7
97219,185,477.9
97220,337,1182.7
97221,49,421.3
97222,235,671.8
97223,300,642.4
97224,193,620.1
97225,151,624.6
97227,29,753.8
97229,255,438.0
97230,561,1411.2
97231,19,443.9
97232,44,383.5
97233,893,2268.4
97236,813,2206.1
97239,79,558.3
97266,428,1285.3
97267,186,603.1
97301,820,1532.2
97302,250,673.3
97303,470,1215.6
97304,309,1086.0
97305,852,2120.7
97306,268,979.5
97317,295,1211.3
97321,128,513.5
97322,224,658.1
97324,1-9,n/a
97325,45,680.4
97327,1-9,n/a
97330,166,400.3
97331,27,1121.3
97333,75,350.8
97338,59,294.3
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,101,979.9
97352,24,428.3
97355,121,422.9
97358,1-9,n/a
97360,1-9,n/a
97361,69,612.9
97362,66,1521.4
97365,316,2941.2
97366,10,684.9
97367,92,977.1
97368,1-9,n/a
97370,39,471.5
97374,16,303.8
97375,14,1118.2
97376,1-9,n/a
97378,29,326.5
97380,13,530.8
97381,132,897.3
97383,65,678.0
97385,24,736.9
97386,26,191.6
97389,14,835.3
97391,21,393.0
97392,39,751.3
97394,1-9,n/a
97396,1-9,n/a
97401,307,757.6
97402,230,456.9
97403,62,533.5
97404,134,415.4
97405,100,224.0
97408,56,478.2
97411,1-9,n/a
97415,23,163.7
97417,1-9,n/a
97419,1-9,n/a
97420,84,305.8
97423,13,190.9
97424,50,284.2
97426,19,195.6
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,25,174.3
97442,1-9,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,35,727.3
97448,26,212.3
97449,1-9,n/a
97452,1-9,n/a
97454,1-9,n/a
97455,1-9,n/a
97456,11,368.5
97457,29,284.1
97458,1-9,n/a
97459,62,439.8
97462,13,330.1
97463,11,283.7
97465,1-9,n/a
97467,1-9,n/a
97469,1-9,n/a
97470,41,205.2
97471,61,209.6
97477,147,398.7
97478,170,459.3
97479,49,515.5
97487,35,414.3
97488,1-9,n/a
97495,1-9,n/a
97496,12,157.2
97497,0,n/a
97498,1-9,n/a
97499,1-9,n/a
97501,436,1035.2
97502,130,469.4
97503,171,1624.2
97504,245,551.3
97520,65,265.6
97523,15,239.5
97524,64,442.6
97525,19,413.0
97526,93,271.9
97527,87,258.1
97530,20,289.2
97532,1-9,n/a
97535,29,574.6
97537,22,318.0
97538,1-9,n/a
97539,1-9,n/a
97540,49,617.9
97541,1-9,n/a
97544,0,n/a
97601,127,565.5
97603,109,369.2
97623,1-9,n/a
97624,21,600.0
97630,32,627.9
97632,1-9,n/a
97633,13,955.2
97641,0,n/a
97701,233,395.0
97702,285,702.3
97703,130,391.7
97707,10,172.0
97708,1-9,n/a
97720,1-9,n/a
97734,28,1005.0
97738,1-9,n/a
97739,24,217.8
97741,190,1595.0
97753,1-9,n/a
97754,60,323.0
97756,183,545.4
97759,31,492.5
97760,29,429.2
97761,325,8151.5
97801,660,3066.8
97813,10,768.0
97814,94,759.2
97818,367,8824.2
97820,0,n/a
97824,11,662.3
97826,24,2212.0
97827,15,570.8
97828,15,480.2
97836,12,605.1
97838,1577,6221.9
97844,132,3468.2
97845,1-9,n/a
97846,1-9,n/a
97850,386,2276.6
97862,161,1380.1
97865,1-9,n/a
97868,24,1205.4
97869,1-9,n/a
97875,133,5095.8
97882,477,6146.9
97883,11,444.8
97885,11,795.4
97886,13,1140.4
97913,278,5029.9
97914,1253,6524.3
97918,131,2887.4
