zip_code,cases,cases_norm
97002,63,1120.4
97003,312,1205.4
97004,25,569.7
97005,379,1521.7
97006,467,740.8
97007,433,646.7
97008,255,880.3
97009,94,1211.0
97013,335,1476.6
97014,1-9,n/a
97015,255,1306.3
97016,37,608.3
97017,1-9,n/a
97018,13,666.0
97019,39,1233.8
97021,1-9,n/a
97022,34,913.5
97023,64,650.9
97024,287,2802.2
97026,140,3669.7
97027,72,593.5
97030,656,1787.8
97031,210,1142.9
97032,125,2478.7
97034,95,502.5
97035,120,501.8
97038,130,860.2
97040,10,803.9
97041,42,1490.9
97042,25,855.3
97045,432,841.1
97048,57,851.9
97049,1-9,n/a
97051,82,513.9
97053,1-9,n/a
97054,1-9,n/a
97055,95,547.6
97056,57,495.8
97058,308,1552.6
97060,350,1648.9
97062,374,1363.3
97063,1-9,n/a
97064,12,346.4
97067,14,654.8
97068,128,452.2
97070,198,944.8
97071,1201,4169.7
97078,322,1502.5
97080,694,1697.3
97086,300,1153.4
97089,129,1076.3
97101,32,843.4
97103,83,492.3
97106,35,769.2
97107,1-9,n/a
97110,1-9,n/a
97111,19,602.0
97112,0,0.0
97113,373,2635.1
97114,61,1281.0
97115,35,845.6
97116,395,1638.7
97119,26,588.2
97121,12,867.7
97123,756,1697.5
97124,470,972.1
97127,39,1042.8
97128,521,1441.6
97131,1-9,n/a
97132,226,799.2
97133,15,375.0
97136,1-9,n/a
97137,1-9,n/a
97138,31,309.4
97140,114,485.6
97141,43,327.2
97146,92,1558.0
97148,22,645.9
97201,101,652.3
97202,201,518.5
97203,405,1304.7
97204,11,1061.8
97205,31,403.2
97206,379,796.3
97209,170,1137.1
97210,55,505.2
97211,244,780.7
97212,117,485.0
97213,182,622.9
97214,171,718.1
97215,126,769.5
97216,222,1423.6
97217,252,801.6
97218,236,1620.8
97219,238,614.8
97220,436,1530.1
97221,67,576.1
97222,285,814.8
97223,346,740.9
97224,239,767.9
97225,177,732.1
97227,43,1117.8
97229,310,532.5
97230,679,1708.1
97231,22,514.0
97232,64,557.9
97233,1110,2819.6
97236,949,2575.2
97239,105,742.0
97266,493,1480.5
97267,253,820.4
97301,1008,1883.5
97302,303,816.0
97303,548,1417.4
97304,359,1261.7
97305,1010,2513.9
97306,318,1162.3
97317,382,1568.5
97321,177,710.0
97322,281,825.5
97324,1-9,n/a
97325,52,786.2
97327,1-9,n/a
97330,209,504.0
97331,29,1204.3
97333,95,444.4
97338,78,389.1
97341,1-9,n/a
97344,1-9,n/a
97347,10,532.5
97348,1-9,n/a
97351,114,1106.0
97352,27,481.8
97355,192,671.0
97358,1-9,n/a
97360,1-9,n/a
97361,84,746.1
97362,74,1705.9
97365,328,3052.9
97366,10,684.9
97367,97,1030.2
97368,1-9,n/a
97370,51,616.6
97374,30,569.7
97375,16,1278.0
97376,1-9,n/a
97378,32,360.3
97380,13,530.8
97381,156,1060.4
97383,95,990.9
97385,28,859.7
97386,42,309.6
97389,15,895.0
97391,28,524.0
97392,50,963.2
97394,10,215.4
97396,10,317.1
97401,513,1266.0
97402,346,687.3
97403,160,1376.7
97404,204,632.5
97405,141,315.8
97408,86,734.4
97411,1-9,n/a
97415,45,320.3
97417,1-9,n/a
97419,1-9,n/a
97420,131,476.8
97423,16,235.0
97424,71,403.5
97426,33,339.6
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,31,216.1
97442,1-9,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,51,1059.9
97448,49,400.2
97449,1-9,n/a
97452,1-9,n/a
97454,1-9,n/a
97455,17,669.8
97456,13,435.5
97457,43,421.2
97458,1-9,n/a
97459,76,539.2
97462,16,406.3
97463,13,335.3
97465,1-9,n/a
97467,1-9,n/a
97469,1-9,n/a
97470,65,325.2
97471,91,312.7
97477,207,561.4
97478,238,643.1
97479,54,568.1
97487,48,568.1
97488,1-9,n/a
97495,1-9,n/a
97496,17,222.7
97497,0,0.0
97498,1-9,n/a
97499,1-9,n/a
97501,582,1381.9
97502,181,653.6
97503,207,1966.2
97504,340,765.0
97520,96,392.3
97523,15,239.5
97524,98,677.8
97525,24,521.6
97526,110,321.6
97527,105,311.5
97530,25,361.5
97532,1-9,n/a
97535,34,673.7
97537,24,346.9
97538,1-9,n/a
97539,1-9,n/a
97540,54,681.0
97541,1-9,n/a
97544,0,0.0
97601,141,627.8
97603,190,643.5
97623,1-9,n/a
97624,30,857.1
97630,33,647.6
97632,1-9,n/a
97633,13,955.2
97641,1-9,n/a
97701,291,493.3
97702,339,835.3
97703,172,518.3
97707,13,223.6
97708,1-9,n/a
97720,11,242.8
97734,31,1112.7
97738,10,515.2
97739,25,226.9
97741,212,1779.7
97753,1-9,n/a
97754,101,543.8
97756,225,670.6
97759,36,572.0
97760,36,532.8
97761,343,8603.0
97801,778,3615.1
97813,11,844.9
97814,109,880.3
97818,377,9064.7
97820,1-9,n/a
97824,11,662.3
97826,28,2580.6
97827,23,875.2
97828,18,576.2
97836,12,605.1
97838,1654,6525.7
97844,143,3757.2
97845,1-9,n/a
97846,10,528.8
97850,399,2353.3
97862,177,1517.2
97865,1-9,n/a
97868,28,1406.3
97869,1-9,n/a
97875,137,5249.0
97882,506,6520.6
97883,11,444.8
97885,15,1084.6
97886,14,1228.1
97913,320,5789.8
97914,1406,7321.0
97918,151,3328.2
