zip_code,cases,cases_norm
97002,43,764.7
97003,196,757.2
97004,19,433.0
97005,258,1035.9
97006,290,460.1
97007,240,358.5
97008,158,545.4
97009,54,695.7
97013,202,890.3
97014,1-9,n/a
97015,127,650.6
97016,18,295.9
97017,1-9,n/a
97018,1-9,n/a
97019,34,1075.6
97021,1-9,n/a
97022,15,403.0
97023,33,335.6
97024,194,1894.2
97026,99,2595.0
97027,47,387.4
97030,403,1098.3
97031,178,968.7
97032,93,1844.1
97034,56,296.2
97035,78,326.2
97038,83,549.2
97040,1-9,n/a
97041,28,994.0
97042,16,547.4
97045,248,482.9
97048,26,388.6
97049,1-9,n/a
97051,37,231.9
97053,1-9,n/a
97054,1-9,n/a
97055,54,311.2
97056,24,208.8
97058,186,937.6
97060,205,965.8
97062,233,849.3
97063,1-9,n/a
97064,1-9,n/a
97067,11,514.5
97068,71,250.8
97070,128,610.8
97071,777,2697.6
97078,213,993.9
97080,441,1078.6
97086,165,634.4
97089,71,592.4
97101,18,474.4
97103,43,255.1
97106,1-9,n/a
97107,0,0.0
97110,1-9,n/a
97111,14,443.6
97112,0,0.0
97113,234,1653.1
97114,42,882.0
97115,21,507.4
97116,234,970.8
97119,11,248.9
97121,1-9,n/a
97123,471,1057.5
97124,286,591.5
97127,21,561.5
97128,308,852.2
97131,1-9,n/a
97132,140,495.1
97133,12,300.0
97136,1-9,n/a
97137,1-9,n/a
97138,17,169.6
97140,74,315.2
97141,23,175.0
97146,21,355.6
97148,13,381.7
97201,52,335.8
97202,137,353.4
97203,283,911.7
97204,1-9,n/a
97205,17,221.1
97206,258,542.1
97209,110,735.8
97210,33,303.1
97211,153,489.5
97212,72,298.4
97213,112,383.3
97214,127,533.3
97215,73,445.8
97216,130,833.7
97217,145,461.2
97218,147,1009.5
97219,137,353.9
97220,221,775.6
97221,35,300.9
97222,178,508.9
97223,223,477.5
97224,142,456.3
97225,113,467.4
97227,16,415.9
97229,188,322.9
97230,414,1041.5
97231,18,420.6
97232,33,287.7
97233,649,1648.6
97236,645,1750.2
97239,61,431.1
97266,295,885.9
97267,134,434.5
97301,587,1096.8
97302,183,492.8
97303,346,894.9
97304,237,832.9
97305,577,1436.2
97306,193,705.4
97317,214,878.7
97321,93,373.1
97322,129,379.0
97324,1-9,n/a
97325,35,529.2
97327,1-9,n/a
97330,108,260.4
97331,1-9,n/a
97333,41,191.8
97338,44,219.5
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,63,611.2
97352,14,249.8
97355,85,297.1
97358,0,0.0
97360,1-9,n/a
97361,44,390.8
97362,35,806.8
97365,313,2913.3
97366,10,684.9
97367,74,785.9
97368,1-9,n/a
97370,25,302.3
97374,11,208.9
97375,12,958.5
97376,1-9,n/a
97378,17,191.4
97380,12,490.0
97381,95,645.8
97383,45,469.4
97385,18,552.7
97386,17,125.3
97389,1-9,n/a
97391,17,318.1
97392,27,520.1
97394,1-9,n/a
97396,1-9,n/a
97401,99,244.3
97402,101,200.6
97403,23,197.9
97404,42,130.2
97405,51,114.2
97408,33,281.8
97411,1-9,n/a
97415,15,106.8
97417,1-9,n/a
97419,1-9,n/a
97420,34,123.8
97423,10,146.9
97424,22,125.0
97426,14,144.1
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,18,125.5
97442,0,0.0
97443,1-9,n/a
97444,1-9,n/a
97446,19,394.8
97448,10,81.7
97449,0,0.0
97452,1-9,n/a
97454,0,0.0
97455,1-9,n/a
97456,1-9,n/a
97457,1-9,n/a
97458,1-9,n/a
97459,44,312.1
97462,10,253.9
97463,1-9,n/a
97465,0,0.0
97467,1-9,n/a
97469,1-9,n/a
97470,34,170.1
97471,39,134.0
97477,72,195.3
97478,102,275.6
97479,41,431.4
97487,10,118.4
97488,1-9,n/a
97495,1-9,n/a
97496,10,131.0
97497,0,0.0
97498,1-9,n/a
97499,0,0.0
97501,260,617.3
97502,79,285.3
97503,96,911.9
97504,132,297.0
97520,29,118.5
97523,10,159.6
97524,31,214.4
97525,13,282.5
97526,64,187.1
97527,57,169.1
97530,15,216.9
97532,1-9,n/a
97535,11,218.0
97537,10,144.6
97538,0,0.0
97539,1-9,n/a
97540,32,403.5
97541,1-9,n/a
97544,0,0.0
97601,90,400.7
97603,80,271.0
97623,1-9,n/a
97624,1-9,n/a
97630,29,569.1
97632,1-9,n/a
97633,12,881.7
97641,0,0.0
97701,204,345.8
97702,186,458.3
97703,84,253.1
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,18,646.1
97738,1-9,n/a
97739,17,154.3
97741,157,1318.0
97753,1-9,n/a
97754,51,274.6
97756,123,366.6
97759,24,381.3
97760,25,370.0
97761,257,6445.9
97801,478,2221.1
97813,1-9,n/a
97814,61,492.7
97818,288,6924.7
97820,0,0.0
97824,10,602.0
97826,17,1566.8
97827,13,494.7
97828,1-9,n/a
97836,14,706.0
97838,1410,5563.0
97844,115,3021.5
97845,1-9,n/a
97846,1-9,n/a
97850,358,2111.5
97862,124,1062.9
97865,1-9,n/a
97868,19,954.3
97869,1-9,n/a
97875,112,4291.2
97882,348,4484.5
97883,1-9,n/a
97885,1-9,n/a
97886,12,1052.6
97913,160,2894.9
97914,787,4097.9
97918,68,1498.8
