zip_code,cases,cases_norm
97002,36,640.2
97003,184,710.9
97004,19,433.0
97005,246,987.7
97006,279,442.6
97007,225,336.1
97008,147,507.4
97009,46,592.6
97013,189,833.0
97014,1-9,n/a
97015,113,578.9
97016,18,295.9
97017,1-9,n/a
97018,1-9,n/a
97019,34,1075.6
97021,0,n/a
97022,13,349.3
97023,30,305.1
97024,185,1806.3
97026,98,2568.8
97027,44,362.7
97030,372,1013.8
97031,172,936.1
97032,87,1725.2
97034,54,285.6
97035,74,309.5
97038,79,522.7
97040,1-9,n/a
97041,27,958.5
97042,15,513.2
97045,226,440.0
97048,24,358.7
97049,1-9,n/a
97051,32,200.5
97053,1-9,n/a
97054,1-9,n/a
97055,53,305.5
97056,24,208.8
97058,184,927.5
97060,192,904.6
97062,221,805.6
97063,1-9,n/a
97064,1-9,n/a
97067,1-9,n/a
97068,70,247.3
97070,116,553.5
97071,680,2360.9
97078,206,961.2
97080,427,1044.3
97086,149,572.9
97089,59,492.2
97101,17,448.1
97103,43,255.1
97106,1-9,n/a
97107,0,n/a
97110,1-9,n/a
97111,14,443.6
97112,0,n/a
97113,220,1554.2
97114,35,735.0
97115,21,507.4
97116,224,929.3
97119,10,226.2
97121,1-9,n/a
97123,434,974.5
97124,274,566.7
97127,20,534.8
97128,259,716.6
97131,1-9,n/a
97132,125,442.0
97133,1-9,n/a
97136,1-9,n/a
97137,1-9,n/a
97138,17,169.6
97140,72,306.7
97141,23,175.0
97146,20,338.7
97148,12,352.3
97201,50,322.9
97202,120,309.6
97203,272,876.2
97204,1-9,n/a
97205,16,208.1
97206,240,504.2
97209,109,729.1
97210,31,284.7
97211,140,447.9
97212,67,277.7
97213,106,362.8
97214,124,520.7
97215,67,409.2
97216,116,743.9
97217,141,448.5
97218,142,975.2
97219,130,335.8
97220,200,701.9
97221,34,292.3
97222,170,486.0
97223,207,443.3
97224,131,420.9
97225,104,430.2
97227,14,363.9
97229,171,293.7
97230,392,986.1
97231,18,420.6
97232,31,270.2
97233,611,1552.1
97236,612,1660.7
97239,56,395.8
97266,272,816.8
97267,130,421.5
97301,533,995.9
97302,171,460.5
97303,326,843.2
97304,221,776.7
97305,505,1257.0
97306,189,690.8
97317,195,800.7
97321,86,345.0
97322,116,340.8
97324,1-9,n/a
97325,34,514.1
97327,1-9,n/a
97330,101,243.5
97331,1-9,n/a
97333,36,168.4
97338,40,199.6
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,59,572.4
97352,13,232.0
97355,84,293.6
97358,0,n/a
97360,1-9,n/a
97361,40,355.3
97362,32,737.7
97365,314,2922.6
97366,1-9,n/a
97367,62,658.5
97368,1-9,n/a
97370,23,278.1
97374,10,189.9
97375,11,878.6
97376,1-9,n/a
97378,15,168.9
97380,12,490.0
97381,85,577.8
97383,44,459.0
97385,18,552.7
97386,16,117.9
97389,1-9,n/a
97391,16,299.4
97392,26,500.9
97394,1-9,n/a
97396,1-9,n/a
97401,97,239.4
97402,100,198.6
97403,22,189.3
97404,41,127.1
97405,52,116.5
97408,32,273.2
97411,1-9,n/a
97415,14,99.6
97417,1-9,n/a
97419,1-9,n/a
97420,32,116.5
97423,1-9,n/a
97424,17,96.6
97426,14,144.1
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,18,125.5
97442,0,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,18,374.1
97448,10,81.7
97449,0,n/a
97452,1-9,n/a
97454,0,n/a
97455,1-9,n/a
97456,1-9,n/a
97457,1-9,n/a
97458,1-9,n/a
97459,43,305.1
97462,1-9,n/a
97463,1-9,n/a
97465,0,n/a
97467,1-9,n/a
97469,1-9,n/a
97470,33,165.1
97471,37,127.1
97477,66,179.0
97478,91,245.9
97479,41,431.4
97487,10,118.4
97488,1-9,n/a
97495,1-9,n/a
97496,1-9,n/a
97497,0,n/a
97498,1-9,n/a
97499,0,n/a
97501,191,453.5
97502,62,223.9
97503,85,807.4
97504,111,249.8
97520,22,89.9
97523,11,175.6
97524,27,186.7
97525,12,260.8
97526,59,172.5
97527,49,145.3
97530,15,216.9
97532,1-9,n/a
97535,1-9,n/a
97537,1-9,n/a
97538,0,n/a
97539,1-9,n/a
97540,28,353.1
97541,1-9,n/a
97544,0,n/a
97601,83,369.6
97603,75,254.0
97623,1-9,n/a
97624,1-9,n/a
97630,29,569.1
97632,1-9,n/a
97633,11,808.2
97641,0,n/a
97701,196,332.2
97702,179,441.1
97703,84,253.1
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,17,610.2
97738,1-9,n/a
97739,17,154.3
97741,146,1225.7
97753,1-9,n/a
97754,50,269.2
97756,117,348.7
97759,22,349.5
97760,24,355.2
97761,233,5844.0
97801,460,2137.4
97813,1-9,n/a
97814,50,403.8
97818,277,6660.3
97820,0,n/a
97824,10,602.0
97826,15,1382.5
97827,13,494.7
97828,1-9,n/a
97836,14,706.0
97838,1375,5424.9
97844,109,2863.9
97845,1-9,n/a
97846,1-9,n/a
97850,348,2052.5
97862,113,968.6
97865,1-9,n/a
97868,19,954.3
97869,1-9,n/a
97875,113,4329.5
97882,331,4265.5
97883,1-9,n/a
97885,1-9,n/a
97886,12,1052.6
97913,143,2587.3
97914,685,3566.8
97918,61,1344.5
