zip_code,cases,cases_norm
97002,30,53.4
97003,155,59.9
97004,14,31.9
97005,176,70.7
97006,231,36.6
97007,163,24.3
97008,124,42.8
97009,35,45.1
97013,175,77.1
97014,1-9,n/a
97015,88,45.1
97016,11,18.1
97017,1-9,n/a
97018,1-9,n/a
97019,32,101.2
97021,0,0.0
97022,1-9,n/a
97023,24,24.4
97024,169,165.0
97026,82,214.9
97027,40,33.0
97030,296,80.7
97031,132,71.8
97032,82,162.6
97034,48,25.4
97035,69,28.9
97038,64,42.3
97040,1-9,n/a
97041,21,74.5
97042,14,47.9
97045,196,38.2
97048,19,28.4
97049,1-9,n/a
97051,18,11.3
97053,1-9,n/a
97054,0,0.0
97055,47,27.1
97056,20,17.4
97058,150,75.6
97060,167,78.7
97062,185,67.4
97063,1-9,n/a
97064,1-9,n/a
97067,1-9,n/a
97068,60,21.2
97070,90,42.9
97071,548,190.3
97078,175,81.7
97080,321,78.5
97086,117,45.0
97089,42,35.0
97101,10,26.4
97103,37,21.9
97106,1-9,n/a
97107,0,0.0
97110,1-9,n/a
97111,11,34.9
97112,0,0.0
97113,207,146.2
97114,26,54.6
97115,19,45.9
97116,203,84.2
97119,10,22.6
97121,1-9,n/a
97123,381,85.5
97124,238,49.2
97127,17,45.5
97128,171,47.3
97131,1-9,n/a
97132,114,40.3
97133,1-9,n/a
97136,1-9,n/a
97137,1-9,n/a
97138,15,15.0
97140,64,27.3
97141,19,14.5
97146,18,30.5
97148,1-9,n/a
97201,44,28.4
97202,85,21.9
97203,236,76.0
97204,1-9,n/a
97205,15,19.5
97206,211,44.3
97209,94,62.9
97210,29,26.6
97211,119,38.1
97212,57,23.6
97213,96,32.9
97214,113,47.5
97215,39,23.8
97216,87,55.8
97217,127,40.4
97218,85,58.4
97219,121,31.3
97220,175,61.4
97221,28,24.1
97222,149,42.6
97223,184,39.4
97224,110,35.3
97225,91,37.6
97227,14,36.4
97229,143,24.6
97230,339,85.3
97231,13,30.4
97232,25,21.8
97233,519,131.8
97236,533,144.6
97239,35,24.7
97266,227,68.2
97267,107,34.7
97301,403,75.3
97302,150,40.4
97303,290,75.0
97304,181,63.6
97305,382,95.1
97306,172,62.9
97317,158,64.9
97321,64,25.7
97322,82,24.1
97324,1-9,n/a
97325,32,48.4
97327,1-9,n/a
97330,80,19.3
97331,1-9,n/a
97333,32,15.0
97338,32,16.0
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,51,49.5
97352,13,23.2
97355,76,26.6
97358,0,0.0
97360,1-9,n/a
97361,27,24.0
97362,29,66.9
97365,309,287.6
97366,1-9,n/a
97367,30,31.9
97368,1-9,n/a
97370,20,24.2
97374,1-9,n/a
97375,10,79.9
97376,1-9,n/a
97378,10,11.3
97380,10,40.8
97381,79,53.7
97383,42,43.8
97385,18,55.3
97386,16,11.8
97389,1-9,n/a
97391,15,28.1
97392,18,34.7
97394,1-9,n/a
97396,1-9,n/a
97401,83,20.5
97402,84,16.7
97403,19,16.3
97404,36,11.2
97405,47,10.5
97408,23,19.6
97411,1-9,n/a
97415,11,7.8
97417,1-9,n/a
97419,1-9,n/a
97420,29,10.6
97423,1-9,n/a
97424,16,9.1
97426,12,12.4
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,18,12.5
97442,0,0.0
97443,1-9,n/a
97444,1-9,n/a
97446,10,20.8
97448,1-9,n/a
97449,0,0.0
97452,1-9,n/a
97454,0,0.0
97455,1-9,n/a
97456,1-9,n/a
97457,1-9,n/a
97458,1-9,n/a
97459,41,29.1
97462,1-9,n/a
97463,1-9,n/a
97465,0,0.0
97467,1-9,n/a
97469,1-9,n/a
97470,31,15.5
97471,24,8.2
97477,52,14.1
97478,64,17.3
97479,35,36.8
97487,1-9,n/a
97488,1-9,n/a
97495,1-9,n/a
97496,1-9,n/a
97497,0,0.0
97498,1-9,n/a
97499,0,0.0
97501,126,29.9
97502,49,17.7
97503,61,57.9
97504,66,14.9
97520,17,6.9
97523,1-9,n/a
97524,23,15.9
97525,1-9,n/a
97526,40,11.7
97527,26,7.7
97530,14,20.2
97532,1-9,n/a
97535,1-9,n/a
97537,1-9,n/a
97538,0,0.0
97539,1-9,n/a
97540,14,17.7
97541,1-9,n/a
97544,0,0.0
97601,75,33.4
97603,73,24.7
97623,1-9,n/a
97624,1-9,n/a
97630,29,56.9
97632,1-9,n/a
97633,11,80.8
97641,0,0.0
97701,163,27.6
97702,153,37.7
97703,77,23.2
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,16,57.4
97738,1-9,n/a
97739,11,10.0
97741,97,81.4
97753,1-9,n/a
97754,39,21.0
97756,93,27.7
97759,16,25.4
97760,22,32.6
97761,185,464.0
97801,350,162.6
97813,1-9,n/a
97814,30,24.2
97818,194,466.5
97820,0,0.0
97824,1-9,n/a
97826,10,92.2
97827,11,41.9
97828,1-9,n/a
97836,12,60.5
97838,1189,469.1
97844,88,231.2
97845,1-9,n/a
97846,1-9,n/a
97850,337,198.8
97862,72,61.7
97865,0,0.0
97868,16,80.4
97869,0,0.0
97875,93,356.3
97882,292,376.3
97883,1-9,n/a
97885,1-9,n/a
97886,1-9,n/a
97913,113,204.5
97914,493,256.7
97918,44,97.0
