zip_code,cases,cases_norm
97002,75,1333.8
97003,354,1367.6
97004,31,706.5
97005,437,1754.6
97006,580,920.1
97007,546,815.5
97008,307,1059.8
97009,110,1417.2
97013,400,1763.0
97014,10,776.4
97015,340,1741.7
97016,39,641.1
97017,11,376.5
97018,14,717.2
97019,47,1486.9
97021,1-9,n/a
97022,37,994.1
97023,89,905.2
97024,325,3173.2
97026,153,4010.5
97027,90,741.9
97030,812,2213.0
97031,231,1257.1
97032,135,2677.0
97034,130,687.6
97035,156,652.4
97038,167,1105.0
97040,10,803.9
97041,47,1668.4
97042,27,923.7
97045,488,950.2
97048,64,956.5
97049,11,579.3
97051,103,645.5
97053,15,462.0
97054,1-9,n/a
97055,157,904.9
97056,64,556.7
97058,340,1713.9
97060,430,2025.8
97062,427,1556.5
97063,1-9,n/a
97064,16,461.9
97067,15,701.6
97068,172,607.7
97070,244,1164.3
97071,1358,4714.8
97078,388,1810.5
97080,826,2020.2
97086,419,1610.9
97089,159,1326.5
97101,37,975.2
97103,93,551.6
97106,39,857.1
97107,1-9,n/a
97110,1-9,n/a
97111,33,1045.6
97112,1-9,n/a
97113,444,3136.7
97114,85,1785.0
97115,41,990.6
97116,483,2003.8
97119,36,814.5
97121,12,867.7
97123,907,2036.5
97124,558,1154.1
97127,54,1443.9
97128,595,1646.3
97131,1-9,n/a
97132,268,947.7
97133,26,650.0
97136,1-9,n/a
97137,15,1147.7
97138,58,578.8
97140,153,651.8
97141,54,411.0
97146,100,1693.5
97148,27,792.7
97201,122,787.9
97202,252,650.1
97203,504,1623.6
97204,16,1544.4
97205,38,494.3
97206,507,1065.2
97209,216,1444.8
97210,68,624.6
97211,307,982.3
97212,136,563.7
97213,236,807.7
97214,194,814.7
97215,152,928.2
97216,275,1763.5
97217,310,986.1
97218,324,2225.1
97219,291,751.8
97220,508,1782.8
97221,76,653.5
97222,365,1043.5
97223,447,957.2
97224,300,963.9
97225,212,876.9
97227,50,1299.7
97229,380,652.7
97230,913,2296.7
97231,27,630.8
97232,90,784.5
97233,1305,3315.0
97236,1115,3025.6
97239,131,925.8
97266,617,1852.9
97267,325,1053.9
97301,1196,2234.8
97302,371,999.2
97303,659,1704.5
97304,427,1500.7
97305,1174,2922.1
97306,370,1352.3
97317,496,2036.5
97321,221,886.6
97322,333,978.3
97324,1-9,n/a
97325,63,952.5
97327,1-9,n/a
97330,245,590.8
97331,29,1204.3
97333,113,528.6
97338,93,464.0
97341,1-9,n/a
97344,1-9,n/a
97347,14,745.5
97348,1-9,n/a
97351,155,1503.8
97352,41,731.6
97355,269,940.1
97358,1-9,n/a
97360,1-9,n/a
97361,100,888.3
97362,78,1798.1
97365,335,3118.0
97366,10,684.9
97367,98,1040.8
97368,1-9,n/a
97370,56,677.1
97374,36,683.6
97375,16,1278.0
97376,1-9,n/a
97378,36,405.3
97380,13,530.8
97381,180,1223.6
97383,103,1074.4
97385,31,951.8
97386,55,405.4
97389,20,1193.3
97391,28,524.0
97392,67,1290.7
97394,10,215.4
97396,11,348.8
97401,589,1453.6
97402,441,876.0
97403,175,1505.8
97404,253,784.4
97405,182,407.7
97408,99,845.4
97411,10,143.8
97415,54,384.3
97417,1-9,n/a
97419,12,1125.7
97420,148,538.7
97423,20,293.7
97424,83,471.8
97426,43,442.6
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,10,839.6
97439,35,244.0
97442,1-9,n/a
97443,11,492.8
97444,12,231.6
97446,52,1080.6
97448,76,620.7
97449,1-9,n/a
97452,1-9,n/a
97454,1-9,n/a
97455,20,788.0
97456,18,603.0
97457,61,597.6
97458,1-9,n/a
97459,92,652.7
97462,18,457.1
97463,16,412.7
97465,1-9,n/a
97467,12,224.8
97469,1-9,n/a
97470,104,520.4
97471,122,419.2
97477,264,716.0
97478,277,748.4
97479,80,841.7
97487,52,615.5
97488,1-9,n/a
97495,1-9,n/a
97496,23,301.3
97497,1-9,n/a
97498,1-9,n/a
97499,1-9,n/a
97501,777,1844.9
97502,285,1029.1
97503,273,2593.1
97504,518,1165.5
97520,133,543.5
97523,18,287.4
97524,138,954.4
97525,31,673.8
97526,124,362.5
97527,122,361.9
97530,43,621.7
97532,1-9,n/a
97535,43,852.0
97537,29,419.2
97538,1-9,n/a
97539,15,450.6
97540,66,832.3
97541,1-9,n/a
97544,1-9,n/a
97601,159,708.0
97603,222,751.9
97623,10,432.9
97624,35,1000.0
97630,36,706.4
97632,10,682.1
97633,15,1102.1
97641,10,761.6
97701,382,647.5
97702,433,1066.9
97703,230,693.1
97707,24,412.8
97708,1-9,n/a
97720,29,640.2
97734,33,1184.5
97738,15,772.8
97739,33,299.5
97741,231,1939.2
97753,11,545.6
97754,128,689.1
97756,289,861.3
97759,51,810.3
97760,42,621.6
97761,353,8853.8
97801,851,3954.3
97813,16,1228.9
97814,146,1179.1
97818,394,9473.4
97820,1-9,n/a
97824,13,782.7
97826,30,2765.0
97827,24,913.2
97828,24,768.2
97836,14,706.0
97838,1767,6971.5
97844,157,4125.1
97845,28,1055.8
97846,12,634.6
97850,466,2748.5
97862,243,2083.0
97865,1-9,n/a
97868,37,1858.4
97869,1-9,n/a
97875,144,5517.2
97882,528,6804.1
97883,15,606.6
97885,21,1518.4
97886,14,1228.1
97913,356,6441.1
97914,1501,7815.7
97918,177,3901.3
