zip_code,cases,cases_norm
97002,47,835.8
97003,219,846.1
97004,20,455.8
97005,283,1136.3
97006,319,506.1
97007,279,416.7
97008,176,607.5
97009,60,773.0
97013,248,1093.1
97014,1-9,n/a
97015,150,768.4
97016,20,328.8
97017,1-9,n/a
97018,1-9,n/a
97019,34,1075.6
97021,1-9,n/a
97022,17,456.7
97023,45,457.7
97024,206,2011.3
97026,109,2857.1
97027,49,403.9
97030,447,1218.2
97031,187,1017.7
97032,107,2121.6
97034,63,333.2
97035,78,326.2
97038,95,628.6
97040,1-9,n/a
97041,32,1136.0
97042,17,581.6
97045,282,549.1
97048,26,388.6
97049,1-9,n/a
97051,43,269.5
97053,1-9,n/a
97054,1-9,n/a
97055,67,386.2
97056,27,234.8
97058,200,1008.2
97060,223,1050.6
97062,250,911.3
97063,1-9,n/a
97064,1-9,n/a
97067,13,608.0
97068,79,279.1
97070,145,691.9
97071,936,3249.7
97078,240,1119.9
97080,480,1173.9
97086,183,703.6
97089,78,650.6
97101,24,632.6
97103,45,266.9
97106,22,483.5
97107,0,0
97110,1-9,n/a
97111,15,475.3
97112,0,0
97113,253,1787.6
97114,46,966.0
97115,22,531.5
97116,260,1078.7
97119,14,316.7
97121,1-9,n/a
97123,537,1205.7
97124,322,666.0
97127,21,561.5
97128,351,971.2
97131,1-9,n/a
97132,146,516.3
97133,13,325
97136,1-9,n/a
97137,1-9,n/a
97138,18,179.6
97140,83,353.6
97141,27,205.5
97146,22,372.6
97148,18,528.5
97201,60,387.5
97202,150,387.0
97203,307,989.0
97204,1-9,n/a
97205,19,247.1
97206,268,563.1
97209,116,775.9
97210,40,367.4
97211,170,543.9
97212,75,310.9
97213,130,444.9
97214,135,566.9
97215,97,592.4
97216,144,923.4
97217,168,534.4
97218,170,1167.5
97219,145,374.6
97220,272,954.6
97221,37,318.1
97222,189,540.3
97223,242,518.2
97224,156,501.3
97225,114,471.5
97227,18,467.9
97229,198,340.1
97230,464,1167.2
97231,18,420.6
97232,35,305.1
97233,703,1785.8
97236,704,1910.3
97239,68,480.6
97266,334,1003.0
97267,149,483.2
97301,662,1237.0
97302,201,541.3
97303,395,1021.6
97304,259,910.2
97305,678,1687.6
97306,206,752.9
97317,242,993.6
97321,108,433.2
97322,146,428.9
97324,1-9,n/a
97325,37,559.4
97327,1-9,n/a
97330,122,294.1
97331,1-9,n/a
97333,46,215.1
97338,47,234.5
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,81,785.9
97352,18,321.2
97355,92,321.5
97358,0,0
97360,1-9,n/a
97361,53,470.8
97362,49,1129.6
97365,314,2922.6
97366,10,684.9
97367,84,892.1
97368,1-9,n/a
97370,30,362.7
97374,12,227.9
97375,12,958.5
97376,1-9,n/a
97378,26,292.7
97380,13,530.8
97381,104,707.0
97383,50,521.5
97385,21,644.8
97386,17,125.3
97389,1-9,n/a
97391,18,336.8
97392,29,558.7
97394,1-9,n/a
97396,1-9,n/a
97401,114,281.3
97402,139,276.1
97403,27,232.3
97404,61,189.1
97405,64,143.4
97408,36,307.4
97411,1-9,n/a
97415,18,128.1
97417,1-9,n/a
97419,1-9,n/a
97420,52,189.3
97423,13,190.9
97424,31,176.2
97426,15,154.4
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,20,139.4
97442,1-9,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,21,436.4
97448,13,106.2
97449,0,0
97452,1-9,n/a
97454,0,0
97455,1-9,n/a
97456,1-9,n/a
97457,10,98.0
97458,1-9,n/a
97459,51,361.8
97462,11,279.3
97463,1-9,n/a
97465,0,0
97467,1-9,n/a
97469,1-9,n/a
97470,35,175.1
97471,41,140.9
97477,83,225.1
97478,112,302.6
97479,41,431.4
97487,12,142.0
97488,1-9,n/a
97495,1-9,n/a
97496,10,131.0
97497,0,0
97498,1-9,n/a
97499,0,0
97501,323,767.0
97502,98,353.9
97503,121,1149.3
97504,161,362.3
97520,40,163.5
97523,10,159.6
97524,45,311.2
97525,17,369.5
97526,70,204.6
97527,68,201.7
97530,18,260.3
97532,1-9,n/a
97535,19,376.5
97537,17,245.7
97538,0,0
97539,1-9,n/a
97540,35,441.4
97541,1-9,n/a
97544,0,0
97601,92,409.6
97603,87,294.7
97623,1-9,n/a
97624,10,285.7
97630,29,569.07
97632,1-9,n/a
97633,13,955.2
97641,0,0
97701,214,362.8
97702,192,473.1
97703,90,271.2
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,19,682.0
97738,1-9,n/a
97739,17,154.3
97741,164,1376.8
97753,1-9,n/a
97754,54,290.7
97756,133,396.4
97759,25,397.2
97760,25,370.0
97761,277,6947.6
97801,549,2551.0
97813,1-9,n/a
97814,81,654.2
97818,316,7598.0
97820,0,0
97824,10,602.0
97826,23,2119.8
97827,13,494.7
97828,10,320.1
97836,11,554.7
97838,1488,5870.7
97844,122,3205.5
97845,1-9,n/a
97846,1-9,n/a
97850,371,2188.1
97862,137,1174.4
97865,1-9,n/a
97868,21,1054.7
97869,1-9,n/a
97875,123,4712.6
97882,409,5270.6
97883,1-9,n/a
97885,1-9,n/a
97886,12,1052.6
97913,191,3455.7
97914,996,5186.1
97918,79,1741.2
