zip_code,cases,cases_norm
97002,48,853.6
97003,240,927.2
97004,23,524.2
97005,302,1212.6
97006,358,567.9
97007,339,506.3
97008,199,686.9
97009,63,811.6
97013,271,1194.5
97014,1-9,n/a
97015,196,1004.0
97016,30,493.2
97017,1-9,n/a
97018,10,512.3
97019,34,1075.6
97021,1-9,n/a
97022,21,564.2
97023,52,528.9
97024,235,2294.5
97026,126,3302.8
97027,54,445.1
97030,514,1400.8
97031,196,1066.7
97032,115,2280.4
97034,76,402.0
97035,91,380.6
97038,108,714.6
97040,10,803.9
97041,36,1278.0
97042,19,650.0
97045,347,675.6
97048,37,553.0
97049,1-9,n/a
97051,57,357.2
97053,1-9,n/a
97054,1-9,n/a
97055,75,432.3
97056,31,269.6
97058,252,1270.3
97060,260,1224.9
97062,267,973.2
97063,1-9,n/a
97064,12,346.4
97067,13,608.0
97068,94,332.1
97070,162,773.0
97071,1056,3666.3
97078,271,1264.5
97080,548,1340.2
97086,226,868.9
97089,90,750.9
97101,27,711.6
97103,70,415.2
97106,29,637.4
97107,0,0
97110,1-9,n/a
97111,15,475.3
97112,0,0
97113,287,2027.6
97114,49,1029.0
97115,23,555.7
97116,296,1228.0
97119,18,407.2
97121,10,723.1
97123,617,1385.4
97124,370,765.3
97127,29,775.4
97128,404,1117.8
97131,1-9,n/a
97132,164,580.0
97133,13,325.0
97136,1-9,n/a
97137,1-9,n/a
97138,29,289.4
97140,91,387.7
97141,36,274.0
97146,80,1354.8
97148,19,557.8
97201,70,452.1
97202,173,446.3
97203,325,1047.0
97204,1-9,n/a
97205,23,299.2
97206,301,632.4
97209,127,849.5
97210,45,413.3
97211,189,604.7
97212,90,373.0
97213,141,482.6
97214,153,642.5
97215,109,665.6
97216,165,1058.1
97217,189,601.2
97218,188,1291.1
97219,175,452.1
97220,327,1147.6
97221,45,386.9
97222,224,640.4
97223,287,614.6
97224,181,581.6
97225,143,591.5
97227,25,649.9
97229,239,410.5
97230,534,1343.3
97231,18,420.6
97232,43,374.8
97233,830,2108.4
97236,782,2122.0
97239,73,515.9
97266,397,1192.2
97267,174,564.2
97301,772,1442.5
97302,236,635.6
97303,449,1161.3
97304,297,1043.8
97305,811,2018.6
97306,255,932.0
97317,283,1162.0
97321,119,477.4
97322,210,616.9
97324,1-9,n/a
97325,43,650.1
97327,1-9,n/a
97330,152,366.5
97331,27,1121.3
97333,65,304.1
97338,56,279.4
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,95,921.7
97352,21,374.7
97355,105,367.0
97358,1-9,n/a
97360,1-9,n/a
97361,66,586.2
97362,60,1383.1
97365,315,2931.9
97366,10,684.9
97367,92,977.1
97368,1-9,n/a
97370,33,399.0
97374,13,246.9
97375,14,1118.2
97376,1-9,n/a
97378,29,326.5
97380,14,571.7
97381,120,815.7
97383,61,636.3
97385,24,736.9
97386,24,176.9
97389,1-9,n/a
97391,19,355.5
97392,35,674.2
97394,1-9,n/a
97396,1-9,n/a
97401,246,607.1
97402,199,395.3
97403,42,361.4
97404,106,328.6
97405,89,199.4
97408,51,435.5
97411,1-9,n/a
97415,22,156.6
97417,1-9,n/a
97419,1-9,n/a
97420,71,258.4
97423,13,190.9
97424,40,227.4
97426,18,185.3
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,22,153.4
97442,1-9,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,33,685.8
97448,18,147.0
97449,1-9,n/a
97452,1-9,n/a
97454,1-9,n/a
97455,1-9,n/a
97456,1-9,n/a
97457,27,264.5
97458,1-9,n/a
97459,57,404.4
97462,13,330.1
97463,1-9,n/a
97465,1-9,n/a
97467,1-9,n/a
97469,1-9,n/a
97470,38,190.1
97471,51,175.3
97477,123,333.6
97478,150,405.3
97479,43,452.4
97487,28,331.4
97488,1-9,n/a
97495,1-9,n/a
97496,10,131.0
97497,0,0
97498,1-9,n/a
97499,1-9,n/a
97501,402,954.5
97502,122,440.5
97503,154,1462.8
97504,215,483.8
97520,62,253.4
97523,12,191.6
97524,59,408.1
97525,18,391.2
97526,83,242.7
97527,79,234.3
97530,19,274.7
97532,1-9,n/a
97535,29,574.6
97537,19,274.6
97538,0,0
97539,1-9,n/a
97540,48,605.3
97541,1-9,n/a
97544,0,0
97601,118,525.4
97603,97,328.5
97623,1-9,n/a
97624,18,514.3
97630,32,627.9
97632,1-9,n/a
97633,13,955.2
97641,0,0
97701,223,378.0
97702,269,662.8
97703,116,349.5
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,27,969.1
97738,1-9,n/a
97739,24,217.8
97741,183,1536.3
97753,1-9,n/a
97754,59,317.6
97756,163,485.8
97759,28,444.9
97760,29,429.2
97761,315,7900.7
97801,604,2806.6
97813,10,768.0
97814,88,710.7
97818,355,8535.7
97820,0,0
97824,10,602.0
97826,25,2304.1
97827,15,570.8
97828,15,480.2
97836,11,554.7
97838,1545,6095.6
97844,131,3441.9
97845,1-9,n/a
97846,1-9,n/a
97850,386,2276.6
97862,157,1345.8
97865,1-9,n/a
97868,22,1105.0
97869,1-9,n/a
97875,132,5057.5
97882,462,5953.6
97883,11,444.8
97885,1-9,n/a
97886,13,1140.4
97913,267,4830.8
97914,1209,6295.2
97918,123,2711.0
