zip_code,cases,cases_norm
97002,27,48.0
97003,130,50.2
97004,11,25.1
97005,155,62.2
97006,199,31.6
97007,152,22.7
97008,99,34.2
97009,30,38.6
97013,164,72.3
97014,1-9,n/a
97015,69,35.3
97016,1-9,n/a
97017,1-9,n/a
97018,1-9,n/a
97019,27,85.4
97021,0,0
97022,1-9,n/a
97023,17,17.3
97024,152,148.4
97026,80,209.7
97027,39,32.1
97030,251,68.4
97031,120,65.3
97032,76,150.7
97034,47,24.9
97035,66,27.6
97038,64,42.3
97040,1-9,n/a
97041,16,56.8
97042,14,47.9
97045,183,35.6
97048,16,23.9
97049,0,0
97051,16,10.0
97053,1-9,n/a
97054,0,0
97055,44,25.4
97056,18,15.7
97058,129,65.0
97060,138,65.0
97062,151,55.0
97063,1-9,n/a
97064,1-9,n/a
97067,0,0
97068,53,18.7
97070,73,34.8
97071,505,175.3
97078,158,73.7
97080,280,68.5
97086,99,38.1
97089,36,30.0
97101,1-9,n/a
97103,30,17.8
97106,1-9,n/a
97107,0,0
97110,1-9,n/a
97111,10,31.7
97112,0,0
97113,193,136.3
97114,22,46.2
97115,18,43.5
97116,182,75.5
97119,1-9,n/a
97121,1-9,n/a
97123,360,80.8
97124,221,45.7
97127,14,37.4
97128,98,27.1
97131,1-9,n/a
97132,101,35.7
97133,1-9,n/a
97136,1-9,n/a
97137,1-9,n/a
97138,12,12.0
97140,56,23.9
97141,13,9.9
97146,18,30.5
97148,1-9,n/a
97201,39,25.2
97202,79,20.4
97203,220,70.9
97204,1-9,n/a
97205,13,16.9
97206,180,37.8
97209,96,64.2
97210,25,23.0
97211,108,34.6
97212,48,19.9
97213,92,31.5
97214,106,44.5
97215,35,21.4
97216,80,51.3
97217,120,38.2
97218,65,44.6
97219,116,30.0
97220,160,56.2
97221,23,19.8
97222,139,39.7
97223,173,37.0
97224,94,30.2
97225,86,35.6
97227,15,39.0
97229,126,21.6
97230,302,76.0
97231,12,28.0
97232,23,20.0
97233,475,120.7
97236,485,131.6
97239,25,17.7
97266,210,63.1
97267,99,32.1
97301,338,63.2
97302,142,38.2
97303,255,66.0
97304,166,58.3
97305,339,84.4
97306,155,56.7
97317,143,58.7
97321,57,22.9
97322,74,21.7
97324,1-9,n/a
97325,30,45.4
97327,1-9,n/a
97330,69,16.6
97331,1-9,n/a
97333,25,11.7
97338,25,12.5
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,42,40.7
97352,12,21.4
97355,66,23.1
97358,0,0
97360,1-9,n/a
97361,17,15.1
97362,28,64.5
97365,305,283.9
97366,1-9,n/a
97367,23,24.4
97368,1-9,n/a
97370,20,24.2
97374,1-9,n/a
97375,1-9,n/a
97376,0,0
97378,10,11.3
97380,10,40.8
97381,71,48.3
97383,41,42.8
97385,16,49.1
97386,14,10.3
97389,1-9,n/a
97391,15,28.1
97392,18,34.7
97394,1-9,n/a
97396,1-9,n/a
97401,74,18.3
97402,75,14.9
97403,17,14.6
97404,31,9.6
97405,46,10.3
97408,19,16.2
97411,1-9,n/a
97415,11,7.8
97417,1-9,n/a
97419,1-9,n/a
97420,26,9.5
97423,1-9,n/a
97424,12,6.8
97426,12,12.4
97431,0,0
97435,1-9,n/a
97437,0,0
97438,1-9,n/a
97439,17,11.9
97442,0,0
97443,1-9,n/a
97444,1-9,n/a
97446,1-9,n/a
97448,1-9,n/a
97449,0,0
97452,1-9,n/a
97454,0,0
97455,1-9,n/a
97456,0,0
97457,1-9,n/a
97458,1-9,n/a
97459,40,28.4
97462,1-9,n/a
97463,1-9,n/a
97465,0,0
97467,1-9,n/a
97469,1-9,n/a
97470,23,11.5
97471,22,7.6
97477,43,11.7
97478,52,14.0
97479,17,17.9
97487,1-9,n/a
97488,1-9,n/a
97495,1-9,n/a
97496,1-9,n/a
97497,0,0
97498,1-9,n/a
97499,0,0
97501,81,19.2
97502,45,16.2
97503,47,44.6
97504,54,12.2
97520,14,5.7
97523,1-9,n/a
97524,17,11.8
97525,1-9,n/a
97526,35,10.2
97527,17,5.0
97530,13,18.8
97532,1-9,n/a
97535,1-9,n/a
97537,1-9,n/a
97538,0,0
97539,1-9,n/a
97540,12,15.1
97541,0,0
97544,0,0
97601,66,29.4
97603,67,22.7
97623,1-9,n/a
97624,1-9,n/a
97630,28,54.9
97632,1-9,n/a
97633,10,73.5
97641,0,0
97701,144,24.4
97702,132,32.5
97703,67,20.2
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,14,50.3
97738,1-9,n/a
97739,1-9,n/a
97741,84,70.5
97753,1-9,n/a
97754,30,16.2
97756,83,24.7
97759,12,19.1
97760,18,26.6
97761,161,403.8
97801,278,129.2
97813,1-9,n/a
97814,19,15.3
97818,153,367.9
97820,0,0
97824,1-9,n/a
97826,10,92.2
97827,11,41.9
97828,1-9,n/a
97836,1-9,n/a
97838,1019,402.0
97844,83,218.1
97845,1-9,n/a
97846,1-9,n/a
97850,334,197.0
97862,47,40.3
97865,0,0
97868,13,65.3
97869,0,0
97875,81,310.3
97882,246,317.0
97883,1-9,n/a
97885,1-9,n/a
97886,1-9,n/a
97913,94,170.1
97914,428,222.9
97918,40,88.2
