zip_code,cases,cases_norm
97002,22,39.1
97003,113,43.6
97004,11,25.1
97005,114,45.8
97006,176,27.9
97007,141,21.1
97008,75,25.9
97009,19,24.5
97013,159,70.1
97014,1-9,n/a
97015,56,28.7
97016,1-9,n/a
97017,1-9,n/a
97018,1-9,n/a
97019,21,66.4
97021,0,0
97022,1-9,n/a
97023,16,16.3
97024,135,131.8
97026,70,183.5
97027,35,28.8
97030,217,59.1
97031,108,58.8
97032,66,130.8
97034,40,21.1
97035,61,25.5
97038,58,38.4
97040,1-9,n/a
97041,16,56.8
97042,13,44.5
97045,171,33.3
97048,13,19.4
97049,0,0
97051,12,7.5
97053,1-9,n/a
97054,0,0
97055,26,15.0
97056,17,14.8
97058,114,57.5
97060,124,58.4
97062,143,52.1
97063,1-9,n/a
97064,1-9,n/a
97067,0,0
97068,48,16.9
97070,61,29.1
97071,435,151.0
97078,142,66.3
97080,244,59.7
97086,87,33.4
97089,29,24.2
97101,1-9,n/a
97103,30,17.8
97106,1-9,n/a
97107,0,0
97110,1-9,n/a
97111,1-9,n/a
97112,0,0
97113,174,122.9
97114,17,35.7
97115,17,41.07
97116,164,68.0
97119,1-9,n/a
97121,1-9,n/a
97123,332,74.5
97124,187,38.7
97127,11,29.4
97128,81,22.4
97131,1-9,n/a
97132,93,32.9
97133,1-9,n/a
97136,1-9,n/a
97137,0,0
97138,12,12.0
97140,53,22.6
97141,13,9.9
97146,17,28.8
97148,1-9,n/a
97201,36,23.2
97202,69,17.8
97203,185,59.6
97204,1-9,n/a
97205,12,15.6
97206,164,34.5
97209,80,53.5
97210,23,21.1
97211,102,32.6
97212,43,17.8
97213,82,28.0
97214,94,39.5
97215,30,18.3
97216,65,41.7
97217,107,34.0
97218,59,40.5
97219,106,27.4
97220,141,49.5
97221,23,19.8
97222,121,34.6
97223,146,31.3
97224,75,24.1
97225,74,30.6
97227,15,39.0
97229,117,20.1
97230,254,63.9
97231,12,28.0
97232,22,19.2
97233,424,107.7
97236,439,119.1
97239,21,14.8
97266,177,53.2
97267,93,30.2
97301,295,55.1
97302,130,35.0
97303,230,59.5
97304,138,48.5
97305,295,73.4
97306,139,50.8
97317,126,51.7
97321,50,20.1
97322,68,19.9
97324,1-9,n/a
97325,28,42.3
97327,1-9,n/a
97330,65,15.7
97331,1-9,n/a
97333,25,11.6
97338,20,9.9
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,28,27.2
97352,11,19.6
97355,62,21.7
97358,0,0
97360,1-9,n/a
97361,15,13.3
97362,28,64.5
97365,299,278.3
97366,1-9,n/a
97367,20,21.2
97368,1-9,n/a
97370,17,20.6
97374,1-9,n/a
97375,1-9,n/a
97376,0,0
97378,1-9,n/a
97380,1-9,n/a
97381,61,41.5
97383,38,39.6
97385,16,49.1
97386,13,9.6
97389,1-9,n/a
97391,15,28.1
97392,18,34.7
97394,1-9,n/a
97396,1-9,n/a
97401,69,17.0
97402,64,12.7
97403,17,14.6
97404,29,9.0
97405,45,10.1
97408,18,15.4
97411,0,0
97415,1-9,n/a
97417,1-9,n/a
97419,0,0
97420,23,8.4
97423,1-9,n/a
97424,11,6.3
97426,10,10.3
97431,1-9,n/a
97435,1-9,n/a
97437,0,0
97438,1-9,n/a
97439,14,9.8
97442,0,0
97443,1-9,n/a
97444,1-9,n/a
97446,1-9,n/a
97448,1-9,n/a
97449,0,0
97452,0,0
97454,0,0
97455,1-9,n/a
97456,0,0
97457,1-9,n/a
97458,1-9,n/a
97459,39,27.7
97462,1-9,n/a
97463,1-9,n/a
97465,0,0
97467,1-9,n/a
97469,1-9,n/a
97470,20,10.0
97471,14,4.8
97477,32,8.7
97478,46,12.4
97479,13,13.7
97487,1-9,n/a
97488,1-9,n/a
97495,1-9,n/a
97496,1-9,n/a
97497,0,0
97498,1-9,n/a
97499,0,0
97501,64,15.2
97502,36,13.0
97503,36,34.2
97504,44,9.9
97520,12,4.9
97523,1-9,n/a
97524,16,11.1
97525,1-9,n/a
97526,28,8.2
97527,16,4.7
97530,10,14.5
97532,1-9,n/a
97535,1-9,n/a
97537,1-9,n/a
97538,0,0
97539,1-9,n/a
97540,1-9,n/a
97541,0,0
97544,0,0
97601,54,24.0
97603,60,20.3
97623,1-9,n/a
97624,1-9,n/a
97630,26,51.0
97632,1-9,n/a
97633,1-9,n/a
97641,0,0
97701,112,18.9
97702,107,26.4
97703,52,15.7
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,11,39.5
97738,1-9,n/a
97739,1-9,n/a
97741,66,55.4
97753,0,0
97754,27,14.5
97756,66,19.7
97759,1-9,n/a
97760,13,19.2
97761,124,311.0
97801,192,89.2
97813,1-9,n/a
97814,11,8.9
97818,110,264.5
97820,0,0
97824,1-9,n/a
97826,10,92.2
97827,10,38.1
97828,1-9,n/a
97836,1-9,n/a
97838,841,331.8
97844,71,186.5
97845,1-9,n/a
97846,1-9,n/a
97850,324,191.1
97862,26,22.3
97865,0,0
97868,13,65.3
97869,0,0
97875,66,252.9
97882,203,261.6
97883,1-9,n/a
97885,1-9,n/a
97886,1-9,n/a
97913,73,132.1
97914,374,194.7
97918,35,77.1
