zip_code,cases,cases_norm
97002,51,907.0
97003,277,1070.2
97004,25,569.7
97005,337,1353.1
97006,407,645.7
97007,381,569.0
97008,224,773.2
97009,70,901.8
97013,295,1300.2
97014,1-9,n/a
97015,222,1137.2
97016,37,608.3
97017,1-9,n/a
97018,13,666.0
97019,34,1075.6
97021,1-9,n/a
97022,31,832.9
97023,57,579.7
97024,258,2519.0
97026,132,3460.0
97027,61,502.8
97030,565,1539.8
97031,203,1104.8
97032,119,2359.7
97034,86,454.9
97035,108,451.7
97038,117,774.2
97040,10,803.9
97041,41,1455.4
97042,22,752.7
97045,391,761.3
97048,49,732.3
97049,1-9,n/a
97051,72,451.2
97053,1-9,n/a
97054,1-9,n/a
97055,88,507.2
97056,44,382.7
97058,288,1451.8
97060,294,1385.1
97062,300,1093.5
97063,1-9,n/a
97064,12,346.4
97067,13,608.0
97068,107,378.0
97070,180,858.9
97071,1116,3874.6
97078,295,1376.5
97080,608,1487.0
97086,258,991.9
97089,115,959.5
97101,30,790.7
97103,76,450.8
97106,33,725.3
97107,0,0
97110,1-9,n/a
97111,19,602.0
97112,0,0
97113,338,2387.8
97114,57,1197.0
97115,30,724.8
97116,335,1389.8
97119,22,497.7
97121,12,867.7
97123,676,1517.8
97124,411,850.1
97127,36,962.6
97128,473,1308.8
97131,1-9,n/a
97132,194,686.0
97133,13,325.0
97136,1-9,n/a
97137,1-9,n/a
97138,30,299.4
97140,101,430.3
97141,40,304.4
97146,86,1456.4
97148,19,557.8
97201,85,549.0
97202,185,477.3
97203,368,1185.5
97204,1-9,n/a
97205,28,364.2
97206,332,697.5
97209,149,996.7
97210,51,468.4
97211,210,671.9
97212,106,439.4
97213,163,557.9
97214,161,676.1
97215,115,702.3
97216,189,1212.0
97217,212,674.3
97218,196,1346.1
97219,197,508.9
97220,369,1295.0
97221,51,438.5
97222,253,723.3
97223,314,672.4
97224,208,668.3
97225,156,645.3
97227,35,909.8
97229,271,465.5
97230,591,1486.7
97231,21,490.7
97232,52,453.3
97233,945,2400.5
97236,852,2312.0
97239,82,579.5
97266,450,1351.4
97267,207,671.2
97301,880,1644.3
97302,271,729.8
97303,494,1277.7
97304,322,1131.7
97305,902,2245.1
97306,279,1019.7
97317,312,1281.1
97321,153,613.8
97322,253,743.3
97324,1-9,n/a
97325,48,725.7
97327,1-9,n/a
97330,173,417.1
97331,27,1121.3
97333,88,411.7
97338,69,344.2
97341,1-9,n/a
97344,1-9,n/a
97347,10,532.5
97348,1-9,n/a
97351,105,1018.7
97352,24,428.3
97355,155,541.7
97358,1-9,n/a
97360,1-9,n/a
97361,73,648.4
97362,70,1613.6
97365,318,2959.8
97366,10,684.9
97367,94,998.3
97368,1-9,n/a
97370,44,532.0
97374,18,341.8
97375,16,1278.0
97376,1-9,n/a
97378,30,337.8
97380,13,530.8
97381,142,965.3
97383,70,730.2
97385,26,798.3
97386,35,258.0
97389,14,835.3
97391,27,505.2
97392,46,886.1
97394,1-9,n/a
97396,1-9,n/a
97401,393,969.9
97402,269,534.3
97403,103,886.3
97404,150,465.0
97405,124,277.7
97408,68,580.7
97411,1-9,n/a
97415,40,284.7
97417,1-9,n/a
97419,1-9,n/a
97420,101,367.6
97423,13,190.9
97424,53,301.2
97426,22,226.4
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,27,188.2
97442,1-9,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,39,810.5
97448,31,253.2
97449,1-9,n/a
97452,1-9,n/a
97454,1-9,n/a
97455,1-9,n/a
97456,11,368.5
97457,34,333.1
97458,1-9,n/a
97459,63,446.9
97462,14,355.5
97463,12,309.5
97465,1-9,n/a
97467,1-9,n/a
97469,1-9,n/a
97470,49,245.2
97471,69,237.1
97477,167,452.9
97478,191,516.1
97479,50,526.0
97487,39,461.6
97488,1-9,n/a
97495,1-9,n/a
97496,12,157.2
97497,0,0
97498,1-9,n/a
97499,1-9,n/a
97501,475,1127.8
97502,145,523.6
97503,175,1662.2
97504,281,632.3
97520,71,290.2
97523,15,239.5
97524,70,484.1
97525,20,434.7
97526,100,292.4
97527,98,290.7
97530,20,289.2
97532,1-9,n/a
97535,29,574.6
97537,21,303.6
97538,1-9,n/a
97539,1-9,n/a
97540,49,617.9
97541,1-9,n/a
97544,0,0
97601,136,605.5
97603,174,589.3
97623,1-9,n/a
97624,27,771.4
97630,33,647.6
97632,1-9,n/a
97633,13,955.2
97641,0,0
97701,259,439.0
97702,306,754.0
97703,140,421.9
97707,12,206.4
97708,1-9,n/a
97720,1-9,n/a
97734,30,1076.8
97738,1-9,n/a
97739,24,217.8
97741,203,1704.2
97753,1-9,n/a
97754,66,355.3
97756,195,581.2
97759,33,524.3
97760,33,488.4
97761,338,8477.6
97801,703,3266.6
97813,10,768.0
97814,103,831.9
97818,372,8944.5
97820,0,0
97824,11,662.3
97826,25,2304.1
97827,19,723.0
97828,16,512.2
97836,12,605.1
97838,1604,6328.4
97844,135,3547.0
97845,1-9,n/a
97846,1-9,n/a
97850,387,2282.5
97862,164,1405.8
97865,1-9,n/a
97868,24,1205.4
97869,1-9,n/a
97875,135,5172.4
97882,483,6224.2
97883,11,444.8
97885,13,940.0
97886,13,1140.4
97913,291,5265.1
97914,1308,6810.7
97918,138,3041.7
