zip_code,cases,cases_norm
97002,66,1173.8
97003,332,1282.6
97004,28,638.1
97005,412,1654.2
97006,524,831.3
97007,472,705.0
97008,269,928.6
97009,99,1275.4
97013,365,1608.8
97014,1-9,n/a
97015,287,1470.2
97016,37,608.3
97017,10,342.2
97018,14,717.2
97019,40,1265.4
97021,1-9,n/a
97022,35,940.4
97023,74,752.6
97024,302,2948.6
97026,148,3879.4
97027,79,651.2
97030,727,1981.3
97031,224,1219.0
97032,129,2558.0
97034,114,603.0
97035,138,577.1
97038,143,946.2
97040,10,803.9
97041,42,1490.9
97042,25,855.3
97045,450,876.2
97048,57,851.9
97049,1-9,n/a
97051,89,557.7
97053,10,308.0
97054,1-9,n/a
97055,118,680.1
97056,59,513.2
97058,328,1653.4
97060,396,1865.6
97062,399,1454.4
97063,1-9,n/a
97064,15,433.0
97067,14,654.8
97068,146,515.8
97070,214,1021.1
97071,1277,4433.6
97078,335,1563.2
97080,753,1841.6
97086,350,1345.6
97089,138,1151.3
97101,32,843.4
97103,84,498.3
97106,38,835.2
97107,1-9,n/a
97110,1-9,n/a
97111,27,855.5
97112,1-9,n/a
97113,404,2854.1
97114,64,1344.0
97115,39,942.3
97116,437,1813.0
97119,29,656.1
97121,12,867.7
97123,821,1843.4
97124,510,1054.8
97127,45,1203.2
97128,535,1480.3
97131,1-9,n/a
97132,237,838.1
97133,18,450.0
97136,1-9,n/a
97137,11,841.6
97138,40,399.2
97140,134,570.8
97141,47,357.7
97146,98,1659.6
97148,23,675.3
97201,108,697.5
97202,228,588.2
97203,449,1446.4
97204,12,1158.3
97205,35,455.3
97206,428,899.2
97209,202,1351.2
97210,59,541.9
97211,266,851.1
97212,122,505.7
97213,202,691.3
97214,182,764.3
97215,134,818.3
97216,240,1539.1
97217,276,877.9
97218,254,1744.4
97219,261,674.3
97220,460,1614.3
97221,70,601.9
97222,319,912.0
97223,383,820.1
97224,267,857.9
97225,187,773.5
97227,47,1221.7
97229,339,582.3
97230,781,1964.7
97231,24,560.7
97232,78,679.9
97233,1175,2984.7
97236,1021,2770.5
97239,120,848.1
97266,536,1609.6
97267,276,895.0
97301,1089,2034.8
97302,337,907.6
97303,610,1577.7
97304,376,1321.4
97305,1082,2693.2
97306,338,1235.4
97317,429,1761.4
97321,197,790.3
97322,308,904.8
97324,1-9,n/a
97325,58,876.9
97327,1-9,n/a
97330,220,530.5
97331,29,1204.3
97333,101,472.5
97338,86,429.0
97341,1-9,n/a
97344,1-9,n/a
97347,10,532.5
97348,1-9,n/a
97351,134,1300.1
97352,28,499.6
97355,229,800.3
97358,1-9,n/a
97360,1-9,n/a
97361,91,808.3
97362,75,1728.9
97365,332,3090.1
97366,10,684.9
97367,97,1030.2
97368,1-9,n/a
97370,52,628.7
97374,34,645.7
97375,16,1278.0
97376,1-9,n/a
97378,34,382.8
97380,13,530.8
97381,165,1121.6
97383,98,1022.2
97385,31,951.8
97386,46,339.1
97389,16,954.7
97391,28,524.0
97392,53,1021.0
97394,10,215.4
97396,10,317.1
97401,544,1342.5
97402,386,766.8
97403,168,1445.5
97404,224,694.5
97405,154,344.9
97408,92,785.6
97411,1-9,n/a
97415,50,355.8
97417,1-9,n/a
97419,1-9,n/a
97420,141,513.2
97423,17,249.7
97424,77,437.6
97426,41,422.0
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,10,839.6
97439,34,237.0
97442,1-9,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,52,1080.6
97448,67,547.2
97449,1-9,n/a
97452,1-9,n/a
97454,1-9,n/a
97455,18,709.2
97456,13,435.5
97457,47,460.4
97458,1-9,n/a
97459,85,603.0
97462,16,406.3
97463,15,386.9
97465,1-9,n/a
97467,1-9,n/a
97469,1-9,n/a
97470,73,365.3
97471,100,343.6
97477,224,607.5
97478,260,702.5
97479,62,652.3
97487,50,591.8
97488,1-9,n/a
97495,1-9,n/a
97496,19,248.9
97497,0,0
97498,1-9,n/a
97499,1-9,n/a
97501,657,1559.9
97502,217,783.6
97503,229,2175.2
97504,395,888.8
97520,114,465.9
97523,15,239.5
97524,114,788.4
97525,26,565.1
97526,114,333.3
97527,109,323.3
97530,29,419.3
97532,1-9,n/a
97535,33,653.9
97537,24,346.9
97538,1-9,n/a
97539,11,330.4
97540,62,781.8
97541,1-9,n/a
97544,0,0
97601,149,663.4
97603,200,677.4
97623,1-9,n/a
97624,32,914.3
97630,35,686.8
97632,10,682.1
97633,14,1028.7
97641,10,761.6
97701,328,556.0
97702,386,951.1
97703,196,590.6
97707,20,344.0
97708,1-9,n/a
97720,24,529.8
97734,32,1148.6
97738,12,618.2
97739,31,281.4
97741,216,1813.3
97753,1-9,n/a
97754,110,592.2
97756,256,762.9
97759,42,667.3
97760,37,547.6
97761,346,8678.2
97801,811,3768.4
97813,13,998.5
97814,116,936.8
97818,386,9281.1
97820,1-9,n/a
97824,11,662.3
97826,29,2672.8
97827,23,875.2
97828,22,704.2
97836,12,605.1
97838,1706,6730.8
97844,148,3888.6
97845,1-9,n/a
97846,12,634.6
97850,421,2483.0
97862,208,1783.0
97865,1-9,n/a
97868,32,1607.2
97869,1-9,n/a
97875,137,5249.0
97882,521,6713.9
97883,13,525.7
97885,18,1301.5
97886,14,1228.1
97913,337,6097.3
97914,1447,7534.5
97918,160,3526.6
