zip_code,cases,cases_norm
97002,30,533.5
97003,168,649.0
97004,15,341.8
97005,202,811.0
97006,255,404.5
97007,184,274.8
97008,141,486.7
97009,39,502.4
97013,182,802.2
97014,1-9,n/a
97015,97,496.9
97016,16,263.0
97017,1-9,n/a
97018,1-9,n/a
97019,33,1044.0
97021,1-9,n/a
97022,1-9,n/a
97023,26,264.4
97024,177,1728.2
97026,94,2464.0
97027,42,346.2
97030,333,907.5
97031,151,821.8
97032,82,1626.0
97034,50,264.5
97035,74,309.5
97038,71,469.8
97040,1-9,n/a
97041,23,816.5
97042,14,479.0
97045,210,408.9
97048,24,358.7
97049,1-9,n/a
97051,23,144.1
97053,1-9,n/a
97054,1-9,n/a
97055,52,299.7
97056,22,191.4
97058,176,887.2
97060,182,857.4
97062,203,740.0
97063,1-9,n/a
97064,1-9,n/a
97067,1-9,n/a
97068,63,222.6
97070,105,501.0
97071,623,2163.0
97078,192,895.9
97080,385,941.6
97086,136,522.9
97089,53,442.2
97101,13,342.6
97103,37,219.5
97106,1-9,n/a
97107,1-9,n/a
97110,1-9,n/a
97111,13,411.9
97112,1-9,n/a
97113,213,1504.8
97114,31,651.0
97115,19,459.0
97116,216,896.1
97119,1-9,n/a
97121,1-9,n/a
97123,424,952.0
97124,264,546.0
97127,19,508.0
97128,232,641.9
97131,1-9,n/a
97132,116,410.2
97133,1-9,n/a
97136,1-9,n/a
97137,1-9,n/a
97138,17,169.6
97140,68,289.7
97141,23,175.0
97146,18,304.8
97148,10,293.6
97201,47,303.5
97202,100,258.0
97203,252,811.8
97204,1-9,n/a
97205,15,195.1
97206,221,464.3
97209,101,675.6
97210,31,284.7
97211,124,396.7
97212,63,261.1
97213,101,345.7
97214,121,508.1
97215,59,360.3
97216,99,634.9
97217,136,432.6
97218,108,741.7
97219,125,322.9
97220,183,642.2
97221,33,283.7
97222,157,448.8
97223,198,424.0
97224,122,392.0
97225,96,397.1
97227,14,363.9
97229,161,276.6
97230,368,925.7
97231,17,397.2
97232,29,252.8
97233,567,1440.3
97236,580,1573.9
97239,50,353.4
97266,252,756.8
97267,115,372.9
97301,460,859.5
97302,156,420.1
97303,311,804.4
97304,199,699.4
97305,428,1065.3
97306,176,643.3
97317,171,702.1
97321,67,268.8
97322,98,287.9
97324,1-9,n/a
97325,33,498.9
97327,1-9,n/a
97330,89,214.6
97331,1-9,n/a
97333,33,154.4
97338,37,184.6
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,51,494.8
97352,13,232.0
97355,78,272.6
97358,1-9,n/a
97360,1-9,n/a
97361,28,248.7
97362,31,714.6
97365,310,2885.3
97366,1-9,n/a
97367,49,520.4
97368,1-9,n/a
97370,21,253.9
97374,10,189.9
97375,10,798.7
97376,1-9,n/a
97378,11,123.8
97380,10,408.3
97381,82,557.4
97383,44,459.0
97385,18,552.7
97386,16,117.9
97389,1-9,n/a
97391,15,280.7
97392,23,443.1
97394,1-9,n/a
97396,1-9,n/a
97401,92,227.0
97402,92,182.7
97403,21,180.7
97404,38,117.8
97405,51,114.2
97408,27,230.6
97411,1-9,n/a
97415,12,85.4
97417,1-9,n/a
97419,1-9,n/a
97420,32,116.5
97423,1-9,n/a
97424,16,90.9
97426,14,144.1
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,18,125.5
97442,1-9,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,14,290.9
97448,10,81.7
97449,1-9,n/a
97452,1-9,n/a
97454,1-9,n/a
97455,1-9,n/a
97456,1-9,n/a
97457,1-9,n/a
97458,1-9,n/a
97459,43,305.1
97462,1-9,n/a
97463,1-9,n/a
97465,1-9,n/a
97467,1-9,n/a
97469,1-9,n/a
97470,32,160.1
97471,35,120.3
97477,62,168.1
97478,85,229.7
97479,38,399.8
97487,10,118.4
97488,1-9,n/a
97495,1-9,n/a
97496,1-9,n/a
97497,1-9,n/a
97498,1-9,n/a
97499,1-9,n/a
97501,156,370.4
97502,56,202.2
97503,64,607.9
97504,85,191.3
97520,20,81.7
97523,10,159.6
97524,27,186.7
97525,1-9,n/a
97526,52,152.0
97527,32,94.9
97530,14,202.4
97532,1-9,n/a
97535,1-9,n/a
97537,1-9,n/a
97538,1-9,n/a
97539,1-9,n/a
97540,23,290.0
97541,1-9,n/a
97544,1-9,n/a
97601,77,342.8
97603,73,247.2
97623,1-9,n/a
97624,1-9,n/a
97630,29,569.1
97632,1-9,n/a
97633,11,808.2
97641,1-9,n/a
97701,191,323.8
97702,171,421.4
97703,81,244.1
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,16,574.3
97738,1-9,n/a
97739,13,118.0
97741,122,1024.2
97753,1-9,n/a
97754,46,247.7
97756,109,324.8
97759,17,270.1
97760,22,325.6
97761,220,5517.9
97801,435,2021.3
97813,1-9,n/a
97814,37,298.8
97818,247,5938.9
97820,1-9,n/a
97824,10,602.0
97826,14,1290.3
97827,13,494.7
97828,1-9,n/a
97836,12,605.1
97838,1302,5136.9
97844,102,2680.0
97845,1-9,n/a
97846,1-9,n/a
97850,343,2023.0
97862,87,745.8
97865,1-9,n/a
97868,17,853.8
97869,1-9,n/a
97875,103,3946.4
97882,317,4085.1
97883,1-9,n/a
97885,1-9,n/a
97886,10,877.2
97913,131,2370.2
97914,591,3077.3
97918,55,1212.3
