zip_code,cases,cases_norm
97002,48,853.6
97003,229,884.7
97004,23,524.2
97005,294,1180.4
97006,342,542.5
97007,321,479.4
97008,195,673.1
97009,62,798.8
97013,261,1150.4
97014,1-9,n/a
97015,174,891.3
97016,27,443.9
97017,1-9,n/a
97018,10,512.3
97019,34,1075.6
97021,1-9,n/a
97022,19,510.5
97023,48,488.2
97024,223,2177.3
97026,120,3145.5
97027,50,412.2
97030,490,1335.4
97031,192,1044.9
97032,114,2260.6
97034,68,359.7
97035,87,363.8
97038,100,661.7
97040,10,803.9
97041,33,1171.5
97042,18,615.8
97045,310,603.6
97048,28,418.5
97049,1-9,n/a
97051,47,294.5
97053,1-9,n/a
97054,1-9,n/a
97055,71,409.2
97056,28,243.5
97058,221,1114.0
97060,247,1163.7
97062,263,958.7
97063,1-9,n/a
97064,10,288.7
97067,13,608.0
97068,90,318.0
97070,155,739.6
97071,1021,3544.8
97078,257,1199.2
97080,523,1279.1
97086,215,826.6
97089,87,725.8
97101,26,685.3
97103,54,320.3
97106,27,593.4
97107,0,0
97110,1-9,n/a
97111,15,475.3
97112,0,0
97113,267,1886.3
97114,47,987.0
97115,23,555.7
97116,271,1124.3
97119,16,362.0
97121,1-9,n/a
97123,586,1315.8
97124,348,719.8
97127,28,748.7
97128,392,1084.6
97131,1-9,n/a
97132,156,551.7
97133,13,325.0
97136,1-9,n/a
97137,1-9,n/a
97138,20,199.6
97140,88,374.9
97141,33,251.1
97146,30,508.0
97148,19,557.8
97201,62,400.4
97202,162,417.9
97203,322,1037.3
97204,1-9,n/a
97205,21,273.2
97206,288,605.1
97209,124,829.4
97210,42,385.8
97211,178,569.5
97212,86,356.5
97213,137,468.9
97214,147,617.3
97215,105,641.2
97216,160,1026.0
97217,177,563.0
97218,178,1222.4
97219,163,421.1
97220,300,1052.8
97221,40,343.9
97222,209,597.5
97223,272,582.5
97224,169,543.0
97225,133,550.1
97227,19,493.9
97229,227,389.9
97230,512,1288.0
97231,18,420.6
97232,39,340.0
97233,790,2006.8
97236,752,2040.6
97239,70,494.7
97266,370,1111.1
97267,164,531.8
97301,735,1373.4
97302,227,611.3
97303,423,1094.1
97304,285,1001.6
97305,758,1886.7
97306,238,869.9
97317,267,1096.3
97321,114,457.3
97322,182,534.7
97324,1-9,n/a
97325,40,604.8
97327,1-9,n/a
97330,138,332.8
97331,23,955.1
97333,59,276.0
97338,54,269.4
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,87,844.1
97352,20,356.9
97355,97,339.0
97358,0,0
97360,1-9,n/a
97361,59,524.1
97362,56,1290.9
97365,313,2913.3
97366,10,684.9
97367,87,924.0
97368,1-9,n/a
97370,31,374.8
97374,12,227.9
97375,12,958.5
97376,1-9,n/a
97378,29,326.5
97380,13,530.8
97381,110,747.7
97383,57,594.6
97385,24,736.9
97386,19,140.0
97389,1-9,n/a
97391,18,336.8
97392,32,616.5
97394,1-9,n/a
97396,1-9,n/a
97401,156,385.0
97402,166,329.7
97403,33,283.9
97404,90,279.0
97405,70,156.8
97408,44,375.7
97411,1-9,n/a
97415,22,156.6
97417,1-9,n/a
97419,1-9,n/a
97420,61,222.0
97423,13,190.9
97424,35,198.9
97426,16,164.7
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,22,153.4
97442,1-9,n/a
97443,1-9,n/a
97444,1-9,n/a
97446,32,665.0
97448,16,130.7
97449,0,0
97452,1-9,n/a
97454,0,0
97455,1-9,n/a
97456,1-9,n/a
97457,24,235.1
97458,1-9,n/a
97459,55,390.2
97462,12,304.7
97463,1-9,n/a
97465,1-9,n/a
97467,1-9,n/a
97469,1-9,n/a
97470,37,185.1
97471,44,151.2
97477,106,287.5
97478,135,364.8
97479,42,441.9
97487,17,201.2
97488,1-9,n/a
97495,1-9,n/a
97496,10,131.0
97497,0,0
97498,1-9,n/a
97499,1-9,n/a
97501,372,883.3
97502,114,411.6
97503,141,1339.3
97504,186,418.5
97520,53,216.6
97523,10,159.6
97524,55,380.4
97525,17,369.5
97526,77,225.1
97527,77,228.4
97530,19,274.7
97532,1-9,n/a
97535,27,535.0
97537,17,245.7
97538,0,0
97539,1-9,n/a
97540,40,504.4
97541,1-9,n/a
97544,0,0
97601,115,512.0
97603,95,321.8
97623,1-9,n/a
97624,18,514.3
97630,27,529.8
97632,1-9,n/a
97633,13,955.2
97641,0,0
97701,206,349.2
97702,245,603.7
97703,105,316.4
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,21,753.8
97738,1-9,n/a
97739,20,181.5
97741,174,1460.7
97753,1-9,n/a
97754,57,306.9
97756,149,444.1
97759,25,397.2
97760,25,370.0
97761,304,7624.8
97801,572,2657.9
97813,10,768.0
97814,84,678.4
97818,341,8199.1
97820,0,0
97824,10,602.0
97826,25,2304.1
97827,14,532.7
97828,15,480.2
97836,11,554.7
97838,1528,6028.6
97844,130,3415.7
97845,1-9,n/a
97846,1-9,n/a
97850,379,2235.3
97862,148,1268.6
97865,1-9,n/a
97868,22,1105.0
97869,1-9,n/a
97875,127,4865.9
97882,457,5889.2
97883,10,404.4
97885,1-9,n/a
97886,12,1052.6
97913,245,4432.8
97914,1150,5988.0
97918,112,2468.6
